run_id,architecture,frames,batch,best_train_loss,best_test_loss,baseline_acc,vitta_acc,rmga_acc,best_epoch,best_adapted_acc,best_adapted_method
r3d_18-F8-B40-E1,3DResNet18 (r3d_18),8,40,2.3275,2.7802,37.46,45.79,45.34,1,45.79,ViTTA
r3d_18-F16-B24-E1,3DResNet18 (r3d_18),16,24,1.8798,2.4609,44.54,50.92,48.63,1,50.92,ViTTA
r3d_18-F32-B40-E1,3DResNet18 (r3d_18),32,40,2.0266,2.4958,43.64,50.37,48.33,1,50.37,ViTTA
mc3_18-F8-B40-E2,MC3-18,8,40,1.0895,2.2491,57.11,74.06,67.68,2,74.06,ViTTA
mc3_18-F16-B24-E2,MC3-18,16,24,1.9858,2.1079,64.69,76.36,73.22,1,76.36,ViTTA
mc3_18-F32-B40-E2,MC3-18,32,40,1.0514,2.1169,62.0,78.05,71.37,2,78.05,ViTTA
r2plus1d_18-F8-B40-E2,R(2+1)D-18,8,40,2.1489,2.4464,50.67,64.94,63.24,1,64.94,ViTTA
r2plus1d_18-F16-B24-E2,R(2+1)D-18,16,24,0.867,2.1125,57.76,73.57,70.17,2,73.57,ViTTA
r2plus1d_18-F32-B40-E2,R(2+1)D-18,32,40,0.8524,2.0089,61.25,72.82,70.32,2,72.82,ViTTA
